,block,schooldist,council,zipcode,bldgclass,landuse,lotarea,bldgarea,numfloors,unitstotal,assesstot,yearbuilt,longitude,latitude,Cluster
7,1349,2.0,5.0,10022.0,D4,3.0,7400.0,93096.0,21.0,21.0,9643950.0,1930.0,-73.96451009999998,40.758638,3
20,70,2.0,1.0,10038.0,RC,5.0,20329.0,255763.0,16.0,57.0,22434303.0,1958.0,-74.0062578,40.7065973,0
21,65,2.0,1.0,10038.0,RC,5.0,7488.0,149160.0,23.0,2.0,25320708.0,2013.0,-74.009371,40.7100198,0
32,71,2.0,1.0,10038.0,RC,5.0,24121.0,462377.0,30.0,30.0,43605009.0,1983.0,-74.00512890000002,40.7063613,0
33,74,2.0,1.0,10038.0,RC,5.0,41656.0,744146.0,35.0,36.0,79710304.0,1993.0,-74.00437149999999,40.7068609,2
138,811,2.0,3.0,10018.0,RB,5.0,13825.0,193534.0,16.0,3.0,25988851.0,1921.0,-73.9894501,40.7519349,0
139,1413,2.0,4.0,10075.0,R4,3.0,6743.0,63158.0,21.0,66.0,11857051.0,1985.0,-73.95964529999999,40.774962200000004,3
157,1269,2.0,4.0,10019.0,R4,3.0,18836.0,404693.0,52.0,246.0,67828953.0,1982.0,-73.9774931,40.7613751,2
334,798,2.0,3.0,10011.0,R4,3.0,6238.0,43864.0,17.0,33.0,10831953.0,2006.0,-73.9941971,40.7428583,3
365,1463,2.0,5.0,10065.0,I1,8.0,42677.0,733747.0,17.0,1.0,128399850.0,2014.0,-73.9558646,40.7648492,0
394,995,2.0,4.0,10036.0,O4,5.0,45800.0,1642675.0,51.0,2.0,351934650.0,1998.0,-73.9857642,40.756021399999995,2
403,886,2.0,2.0,10016.0,R4,3.0,5675.0,48547.0,21.0,52.0,7963185.0,1984.0,-73.9825115,40.744515,3
424,1030,2.0,4.0,10019.0,R4,3.0,27604.0,396613.0,70.0,117.0,90835087.0,2015.0,-73.98056700000001,40.7669584,2
425,1137,3.0,6.0,10023.0,R4,3.0,28455.0,396861.0,45.0,343.0,61250858.0,1989.0,-73.984262,40.774221600000004,2
439,40,2.0,1.0,10005.0,O4,5.0,53632.0,1617206.0,47.0,1.0,181755900.0,1987.0,-74.0085048,40.7062404,2
491,1263,2.0,4.0,10036.0,RM,4.0,7431.0,133983.0,34.0,153.0,24811671.0,2005.0,-73.9793172,40.757540999999996,2
800,1395,2.0,4.0,10065.0,D4,3.0,16067.0,184500.0,16.0,136.0,22322250.0,1960.0,-73.9670455,40.7631347,3
807,5903,10.0,11.0,10463.0,R4,3.0,9503.0,111194.0,19.5,66.0,5392340.0,2006.0,-73.91211899999999,40.8879685,3
857,968,2.0,4.0,10016.0,RM,4.0,45526.0,457946.0,37.0,487.0,58536314.0,1984.0,-73.97183620000001,40.745155100000005,2
879,1558,2.0,5.0,10128.0,D3,3.0,17640.0,165200.0,16.0,159.0,7221600.0,1962.0,-73.9463589,40.7836246,3
960,524,2.0,1.0,10012.0,W6,8.0,188029.0,1260362.0,30.0,2.0,86879250.0,1967.0,-73.99795429999999,40.7267934,0
1002,1335,2.0,4.0,10017.0,D4,3.0,11648.0,215715.0,23.5,406.0,18634950.0,1927.0,-73.9699937,40.749345899999994,3
1070,1852,3.0,7.0,10025.0,RM,4.0,113410.0,588459.0,29.0,371.0,82187865.0,2007.0,-73.9667518,40.7947101,3
1268,2172,14.0,33.0,11249.0,D9,3.0,116000.0,341300.0,21.0,372.0,13537350.0,1963.0,-73.9643292,40.7056121,1
1976,1284,2.0,4.0,10017.0,O4,5.0,35200.0,810426.0,40.0,74.0,192125700.0,1968.0,-73.9755455,40.756623499999996,2
1977,1285,2.0,4.0,10017.0,O4,5.0,38360.0,836660.0,39.0,102.0,130972050.0,1967.0,-73.9753936,40.7573701,2
1992,551,2.0,1.0,10011.0,D4,3.0,43595.0,469263.0,20.0,350.0,45509850.0,1952.0,-73.9970665,40.7319975,3
1993,559,1.0,2.0,10003.0,H8,8.0,41950.0,446076.0,16.0,3.0,24358950.0,1999.0,-73.9882768,40.7333089,0
2024,503,30.0,26.0,11106.0,R4,3.0,34340.0,77196.0,20.0,164.0,7371405.0,2007.0,-73.9345548,40.7686679,1
2029,420,30.0,26.0,11101.0,RB,5.0,28447.0,543946.0,22.0,2.0,68942700.0,2009.0,-73.9388939,40.749341799999996,1
2107,1397,2.0,4.0,10065.0,D4,3.0,14219.0,202841.0,16.0,121.0,22406850.0,1927.0,-73.96763659999999,40.7650205,3
2133,119,2.0,1.0,10007.0,O6,5.0,152553.0,1000518.0,16.0,1.0,80436150.0,1973.0,-74.0017963,40.7122105,0
2455,16,2.0,1.0,10004.0,RM,4.0,20763.0,344963.0,35.0,234.0,49054537.0,2006.0,-74.01709620000001,40.7062284,2
2458,92,2.0,1.0,10038.0,RH,5.0,9875.0,163935.0,34.0,3.0,16586551.0,2013.0,-74.0059696,40.710451,2
2475,92,2.0,1.0,10038.0,RB,5.0,10586.0,149125.0,22.0,37.0,19505703.0,1951.0,-74.0061896,40.710171,0
2477,72,2.0,1.0,10038.0,R4,3.0,4836.0,116680.0,57.0,98.0,10147043.0,2016.0,-74.00476809999999,40.7054995,2
2526,1289,2.0,4.0,10022.0,O4,5.0,34844.0,262945.0,22.0,26.0,69718500.0,1952.0,-73.9728733,40.75959,0
2875,1027,2.0,4.0,10019.0,RH,5.0,35145.0,665696.0,30.0,290.0,139162329.0,1925.0,-73.9811849,40.7647188,0
2938,1169,3.0,6.0,10024.0,R4,3.0,5108.0,73791.0,21.0,34.0,12965852.0,2008.0,-73.9800676,40.782737899999994,3
2967,1171,3.0,6.0,10023.0,D6,4.0,57638.0,437396.0,33.0,246.0,75136050.0,2016.0,-73.9918044,40.7726771,2
3007,1165,3.0,6.0,10023.0,RZ,4.0,15330.0,159086.0,19.0,160.0,22824904.0,1927.0,-73.98295340000001,40.780303700000005,3
3009,1392,2.0,4.0,10075.0,R4,3.0,17265.0,193124.0,16.0,112.0,38686504.0,1958.0,-73.9625805,40.7752321,3
3010,1373,2.0,5.0,10044.0,R4,3.0,42307.0,126281.0,16.0,123.0,19750522.0,2007.0,-73.9534974,40.7583487,3
3131,1701,4.0,8.0,10029.0,D4,3.0,519220.0,2046455.0,31.0,1604.0,70344900.0,1974.0,-73.9376821,40.7908856,3
3134,1833,3.0,7.0,10025.0,R4,3.0,132356.0,323200.0,19.0,413.0,22932440.0,1960.0,-73.9650075,40.7944488,3
3219,5713,10.0,11.0,10463.0,D4,3.0,53650.0,122000.0,20.0,117.0,3137850.0,1966.0,-73.9072529,40.8814104,3
3252,6791,25.0,24.0,11365.0,D4,3.0,103600.0,236984.0,24.0,184.0,9873450.0,1966.0,-73.8076605,40.7362724,1
3316,1312,2.0,4.0,10022.0,RM,4.0,17272.0,453533.0,57.0,231.0,60348125.0,1975.0,-73.9697572,40.7617109,2
3384,1583,2.0,5.0,10128.0,RM,4.0,8911.0,93708.0,16.0,94.0,11308067.0,1963.0,-73.9464839,40.7762825,3
3419,1453,2.0,5.0,10075.0,RM,4.0,5712.0,62546.0,18.0,34.0,11359797.0,2006.0,-73.9549349,40.773011700000005,3
3421,1542,2.0,5.0,10075.0,RM,4.0,28401.0,425743.0,36.0,546.0,57502006.0,1974.0,-73.9542451,40.773327,2
3528,22,2.0,1.0,10004.0,O4,5.0,13323.0,300676.0,38.0,66.0,21637800.0,1927.0,-74.0124398,40.7062318,2
3647,1571,2.0,5.0,10128.0,D6,4.0,7796.0,194212.0,32.0,199.0,16419150.0,2004.0,-73.9464012,40.7803996,2
3680,6,30.0,26.0,11101.0,RM,4.0,12100.0,228309.0,32.0,309.0,26712451.0,2013.0,-73.9590406,40.7425191,1
3856,1325,2.0,4.0,10022.0,D4,3.0,15062.0,206945.0,20.0,195.0,22052250.0,1960.0,-73.9683196,40.755856,3
3869,256,2.0,1.0,10002.0,D6,4.0,294793.0,527043.0,16.0,611.0,24588450.0,1954.0,-73.9882805,40.7121166,3
3873,1443,2.0,5.0,10065.0,D4,3.0,30875.0,324854.0,17.0,296.0,32659650.0,1931.0,-73.95952790000001,40.7662256,3
3875,1388,2.0,4.0,10021.0,D4,3.0,12260.0,161572.0,19.0,63.0,18365400.0,1929.0,-73.9634089,40.7723971,3
3886,7250,21.0,47.0,11224.0,D4,3.0,622700.0,1259938.0,24.0,1038.0,33618150.0,1963.0,-73.9731005,40.581163200000006,1
3923,1905,13.0,35.0,11205.0,D3,3.0,147860.0,402660.0,16.0,187.0,19687500.0,1957.0,-73.9630882,40.6929912,1
3948,1349,2.0,5.0,10022.0,D6,4.0,12761.0,180000.0,19.0,166.0,15595200.0,1948.0,-73.965102,40.7589154,3
