,borough,block,schooldist,council,zipcode,bldgclass,landuse,lotarea,bldgarea,numfloors,unitstotal,assesstot,yearbuilt,longitude,latitude,Cluster
7,MN,1349,2.0,5.0,10022.0,D4,3.0,7400.0,93096.0,21.0,21.0,9643950.0,1930.0,-73.96451009999998,40.758638,0
21,MN,65,2.0,1.0,10038.0,RC,5.0,7488.0,149160.0,23.0,2.0,25320708.0,2013.0,-74.009371,40.7100198,0
32,MN,71,2.0,1.0,10038.0,RC,5.0,24121.0,462377.0,30.0,30.0,43605009.0,1983.0,-74.00512890000002,40.7063613,0
33,MN,74,2.0,1.0,10038.0,RC,5.0,41656.0,744146.0,35.0,36.0,79710304.0,1993.0,-74.00437149999999,40.7068609,0
139,MN,1413,2.0,4.0,10075.0,R4,3.0,6743.0,63158.0,21.0,66.0,11857051.0,1985.0,-73.95964529999999,40.774962200000004,0
157,MN,1269,2.0,4.0,10019.0,R4,3.0,18836.0,404693.0,52.0,246.0,67828953.0,1982.0,-73.9774931,40.7613751,0
394,MN,995,2.0,4.0,10036.0,O4,5.0,45800.0,1642675.0,51.0,2.0,351934650.0,1998.0,-73.9857642,40.756021399999995,0
403,MN,886,2.0,2.0,10016.0,R4,3.0,5675.0,48547.0,21.0,52.0,7963185.0,1984.0,-73.9825115,40.744515,0
424,MN,1030,2.0,4.0,10019.0,R4,3.0,27604.0,396613.0,70.0,117.0,90835087.0,2015.0,-73.98056700000001,40.7669584,0
425,MN,1137,3.0,6.0,10023.0,R4,3.0,28455.0,396861.0,45.0,343.0,61250858.0,1989.0,-73.984262,40.774221600000004,0
439,MN,40,2.0,1.0,10005.0,O4,5.0,53632.0,1617206.0,47.0,1.0,181755900.0,1987.0,-74.0085048,40.7062404,0
491,MN,1263,2.0,4.0,10036.0,RM,4.0,7431.0,133983.0,34.0,153.0,24811671.0,2005.0,-73.9793172,40.757540999999996,0
857,MN,968,2.0,4.0,10016.0,RM,4.0,45526.0,457946.0,37.0,487.0,58536314.0,1984.0,-73.97183620000001,40.745155100000005,0
960,MN,524,2.0,1.0,10012.0,W6,8.0,188029.0,1260362.0,30.0,2.0,86879250.0,1967.0,-73.99795429999999,40.7267934,0
1002,MN,1335,2.0,4.0,10017.0,D4,3.0,11648.0,215715.0,23.5,406.0,18634950.0,1927.0,-73.9699937,40.749345899999994,0
1070,MN,1852,3.0,7.0,10025.0,RM,4.0,113410.0,588459.0,29.0,371.0,82187865.0,2007.0,-73.9667518,40.7947101,0
1268,BK,2172,14.0,33.0,11249.0,D9,3.0,116000.0,341300.0,21.0,372.0,13537350.0,1963.0,-73.9643292,40.7056121,1
1976,MN,1284,2.0,4.0,10017.0,O4,5.0,35200.0,810426.0,40.0,74.0,192125700.0,1968.0,-73.9755455,40.756623499999996,0
1977,MN,1285,2.0,4.0,10017.0,O4,5.0,38360.0,836660.0,39.0,102.0,130972050.0,1967.0,-73.9753936,40.7573701,0
2029,QN,420,30.0,26.0,11101.0,RB,5.0,28447.0,543946.0,22.0,2.0,68942700.0,2009.0,-73.9388939,40.749341799999996,2
2455,MN,16,2.0,1.0,10004.0,RM,4.0,20763.0,344963.0,35.0,234.0,49054537.0,2006.0,-74.01709620000001,40.7062284,0
2458,MN,92,2.0,1.0,10038.0,RH,5.0,9875.0,163935.0,34.0,3.0,16586551.0,2013.0,-74.0059696,40.710451,0
2475,MN,92,2.0,1.0,10038.0,RB,5.0,10586.0,149125.0,22.0,37.0,19505703.0,1951.0,-74.0061896,40.710171,0
